start_time,end_time,C01,C02,C03,C11,C12,C13,C21,C22,C23,A106,A006,C24
8:00,8:30,,,,,,,,,,,,
8:30,9:00,,,,,,,,,,,,
9:00,9:30,,,,,,,,,,,,
9:30,10:00,BE-A,,,BE-B,,,,,,,,CTRSS
10:00,10:30,BE-A,IE,AIOT,BE-B,,MCA,ADA,MS,MSD,IMB,ALG,CTRSS
10:30,11:00,DSA-A,IE,AIOT,DSA-B,,MCA,ADA,MS,MSD,IMB,ALG,
11:00,11:30,DSA-A,IE,AIOT,DSA-B,,MCA,,MS,MSD,IMB,ALG,
11:30,12:00,,FW,IQC,,MCOM,,VPM,NS,Rob,,IR,
12:00,12:30,,FW,IQC,,MCOM,,VPM,NS,Rob,,IR,
12:30,13:00,,CAOS,IQC,,MCOM,,VPM,NS,Rob,,IR,
13:00,13:30,,CAOS,,,,,,,,,,
13:30,14:00,,,,,,,,,,,,
14:00,14:30,,,,,,,,,,,,
14:30,15:00,,,SSB,SML,,NSDE,M-IV,OCS,,,,WSI
15:00,15:30,,,SSB,SML,,NSDE,M-IV,OCS,,,,WSI
15:30,16:00,,,SSB,SML,,NSDE,M-IV,OCS,,,,WSI
16:00,16:30,,MDT,CHI,TOC,,,MC,RS,,,,SCM
16:30,17:00,,MDT,CHI,TOC,,,MC,RS,,,,SCM
17:00,17:30,,MDT,CHI,TOC,,,MC,RS,,,,SCM
