start_time,end_time,C01,C02,C03,C11,C12,C13,C21,C22,C23,A106,A006,C24
8:00,8:30,,,,,,,,,,,,
8:30,9:00,,,,,,,,,,,,
9:00,9:30,PS-A,,,,,,,,,,,
9:30,10:00,PS-A,PCS,,,,,,,,,,
10:00,10:30,DHCS,PCS,PGM,,INE,GPU,ADA,LO,SC,,IED,
10:30,11:00,DHCS,PCS,PGM,PS-B,INE,GPU,ADA,LO,SC,,IED,
11:00,11:30,DHCS,,PGM,PS-B,INE,GPU,OS,LO,SC,,IED,
11:30,12:00,BE,FW,,,TMC,ICN,,RA,OCMS,A&G,DDV,CTRSS
12:00,12:30,BE,FW,,,TMC,ICN,,RA,OCMS,A&G,DDV,CTRSS
12:30,13:00,,,,,TMC,ICN,ADA,RA,OCMS,A&G,DDV,
13:00,13:30,,,,,,,ADA,,,,,
13:30,14:00,,,,,,,,,,,,
14:00,14:30,,,,,,,,,,,,
14:30,15:00,,IML,CIA,MPHY,DL,,IQB,SSP,ATMC,,,BDMH
15:00,15:30,,IML,CIA,MPHY,DL,,IQB,SSP,ATMC,,,BDMH
15:30,16:00,,IML,CIA,MPHY,DL,,IQB,SSP,ATMC,,,BDMH
16:00,16:30,,,,,,,,,,,,
16:30,17:00,,,,,,,,,,,,
17:00,17:30,,,,,,,,,,,,
