start_time,end_time,C01,C02,C03,C11,C12,C13,C21,C22,C23,A106,A006,C24
8:00,8:30,,,,,,,,,,IED-B,,
8:30,9:00,,,,,,,,,,IED-B,,
9:00,9:30,,,,,,,,,,IED-B,,
9:30,10:00,DSA-A,,,DSA-B,,,,,,,,
10:00,10:30,DSA-A,IE,TMC,DSA-B,A&G,INC,DBMS,OCMS,RA,,ALG,
10:30,11:00,,IE,TMC,,A&G,INC,DBMS,OCMS,RA,IED-A,ALG,
11:00,11:30,,IE,TMC,,A&G,INC,DBMS,OCMS,RA,IED-A,ALG,
11:30,12:00,,FW,IQC,,,AAG,VPM,DHD,Rob,IED-A,IR,MCOM
12:00,12:30,BE-A,FW,IQC,BE-B,CTRSS,AAG,VPM,DHD,Rob,DDV,IR,MCOM
12:30,13:00,BE-A,CAOS,IQC,BE-B,CTRSS,AAG,VPM,DHD,Rob,DDV,IR,MCOM
13:00,13:30,,CAOS,,,,,,,,DDV,,
13:30,14:00,,,,,,,,,,,,
14:00,14:30,,,,,,,,,,,,
14:30,15:00,,,SSB,SML,,NSDE,M-IV,OCS,,,,WSI
15:00,15:30,,,SSB,SML,,NSDE,M-IV,OCS,,,,WSI
15:30,16:00,,,SSB,SML,,NSDE,M-IV,OCS,,,,WSI
16:00,16:30,,BDA,CHI,TOC,,MDT,MC,RS,,,,SCM
16:30,17:00,,BDA,CHI,TOC,,MDT,MC,RS,,,,SCM
17:00,17:30,,BDA,CHI,TOC,,MDT,MC,RS,,,,SCM
