start_time,end_time,C01,C02,C03,C11,C12,C13,C21,C22,C23,A106,A006,C24
8:00,8:30,,,,,,,,,,,,
8:30,9:00,,,,,,,,,,,,
9:00,9:30,,,,,,,,,,,,
9:30,10:00,PS-A,,,PS-B,,,ADA,,,,,
10:00,10:30,PS-A,,AIOT,PS-B,,MCA,ADA,MS,MSD,IMB,,
10:30,11:00,DSA-A,,AIOT,DSA-B,,MCA,,MS,MSD,IMB,,
11:00,11:30,DSA-A,,AIOT,DSA-B,,MCA,,MS,MSD,IMB,,
11:30,12:00,ME,,RL,CV,IPHI-A,ISA-A,OS,,,ASM-A,AELD,FPP
12:00,12:30,ME,,RL,CV,IPHI-A,ISA-A,OS,,,ASM-A,AELD,FPP
12:30,13:00,ME,PCS,RL,CV,IPHI-A,ISA-A,OS,,,ASM-A,AELD,FPP
13:00,13:30,,,,,,,,,,,,
13:30,14:00,,,,,,,,,,,,
14:00,14:30,,,,,,,,,,,,
14:30,15:00,,IML,CIA,MPHY,DL,VR,IQB,SSP,ATMC,,,BDMH
15:00,15:30,,IML,CIA,MPHY,DL,VR,IQB,SSP,ATMC,,,BDMH
15:30,16:00,,IML,CIA,MPHY,DL,VR,IQB,SSP,ATMC,,,BDMH
16:00,16:30,Ppsy-A,,Lit,RM,CT-A,DW,GT,MD,Cpsy,,,
16:30,17:00,Ppsy-A,,Lit,RM,CT-A,DW,GT,MD,Cpsy,,,
17:00,17:30,Ppsy-A,,Lit,RM,CT-A,DW,GT,MD,Cpsy,,,
